SKU,parent,cat,gross,units,deliv,days,is_mapped,base_gross,base_units,asp,cat_base,f_oct,f_nov,oct_gross,nov_gross,oct_units,nov_units,Sold_in_event,In_inventory_7Sep,In_projection_sheet
BLK-BEM-2-0-MGSAF-AP-IPH17PRO,Beam 2.0,Cases And Sleeves,1398.0,2.0,2.0,2,True,699.0,1.0,699.0,34345120.5,1.2883232034218228,1.0714423217936824,900.5379191918541,748.938182933784,2,2,True,True,True
BLK-BEM-2-0-MGSAF-SS-GLS23PLS,Beam 2.0,Cases And Sleeves,6590.0,10.0,9.0,10,True,3295.0,5.0,659.0,34345120.5,1.2883232034218228,1.0714423217936824,4245.0249552749065,3530.402450310183,7,6,True,True,True
BLK-BEM-2-0-MGSAF-SS-GLS24PLS,Beam 2.0,Cases And Sleeves,25767.0,33.0,27.0,27,True,12883.5,16.5,780.8181818181819,34345120.5,1.2883232034218228,1.0714423217936824,16598.111991285055,13803.927152828906,22,18,True,True,True
BLK-BEM-2-0-MGSAF-SS-GLS25,Beam 2.0,Cases And Sleeves,59024.0,76.0,68.0,31,True,29512.0,38.0,776.6315789473684,34345120.5,1.2883232034218228,1.0714423217936824,38020.994379384836,31620.405800775156,49,41,False,True,True
BLK-BEM-2-0-MGSAF-SS-GLS25EDGE,Beam 2.0,Cases And Sleeves,12284.0,16.0,13.0,15,True,6142.0,8.0,767.75,34345120.5,1.2883232034218228,1.0714423217936824,7912.881115416836,6580.7987404567975,11,9,True,True,True
BLK-BEM-2-0-MGSAF-SS-GLS25PLS,Beam 2.0,Cases And Sleeves,28064.0,36.0,23.0,27,True,14032.0,18.0,779.5555555555555,34345120.5,1.2883232034218228,1.0714423217936824,18077.75119041502,15034.478659408951,24,20,True,True,True
BLK-BEM-2-0-MGSAF-SS-GLS25ULTRA,Beam 2.0,Cases And Sleeves,22968.0,32.0,29.0,3,True,11484.0,16.0,717.75,34345120.5,1.2883232034218228,1.0714423217936824,14795.103668096213,12304.443623478648,21,18,False,False,True
BLK-BLK-CROSBODY-PHN-LNYRD-STRP,Phone Lanyard,Accessories,19729.0,21.0,20.0,15,True,9864.5,10.5,939.4761904761905,41916483.0,0.7645721803750198,0.7441467195192246,7542.122273309383,7340.635314697392,9,8,True,True,True
BLK-BLU-TRGNO-MUSE-PAD,Mouse Pad,Home Office,28609.0,41.0,38.0,18,True,14304.5,20.5,697.780487804878,15644036.0,0.8756404294244335,0.9428999195133757,12525.59852270181,13487.711898679083,18,20,True,True,True
BLK-BLUE-DART-DESK-MAT-R1,Dart Desk Mat,Home Office,58567.0,33.0,27.0,27,True,29283.5,16.5,1774.7575757575758,15644036.0,0.8756404294244335,0.9428999195133757,25641.8165150504,27611.40979306994,15,16,True,True,True
