Category,base_gross,Oct_units,Oct_gross,Nov_units,Nov_gross,skus,Oct_share_%,Nov_share_%,Oct_avg_ASP
Cases And Sleeves,34345120.5,38692,44247615.66446852,33013,36798815.6508038,4104,36.87301305372378,31.998970131133735,1143.5856421086664
Accessories,41916483.0,11373,32048176.80096245,11060,31192013.31823335,332,26.706814000802055,27.123489841942046,2817.917594386921
Bags and Backpacks,27770135.0,11741,27940790.536050607,12737,30469286.314141765,349,23.283992113375515,26.495031577514577,2379.7624168342227
Home Office,15644036.0,9584,13698550.400971297,10316,14750760.285264352,187,11.415458667476084,12.826748074142916,1429.3145243083575
Wallet and Pouches,1868266.5,1103,946906.5860530268,1054,908976.2965266109,85,0.789088821710856,0.790414170892705,858.48285226929
Gifts,373275.0,187,567568.7423217356,94,270044.6699912358,25,0.47297395193477987,0.234821452166292,3035.1269642873563
Travel,791637.0,796,550391.2691723235,881,610103.465038876,23,0.4586593909769364,0.5305247522077182,691.4463180556828
